name,ring,quadrant,isNew,description
Jenkins,Hold,Technologies,,"A usually self-hosted automation server, often used for continuous integration or recurring scheduled tasks.  Very flexible but somewhat difficult to maintain; edX.org is actively trying to reduce the number of things they use it for."
MongoDB,Hold,Technologies,,"<a href=""https://www.mongodb.com/"">MongoDB</a> is a document database server, currently used to store course content and forums discussion data."
nosql,Hold,Technologies,,"<a href=""https://www.mongodb.com/nosql-explained"">NoSQL</a> is a type of database that stores and retrieves data without needing to define its structure (schema) first. This type of database is an alternative to the more rigid relational database, which can be queried using SQL but needs a rigid schema of tables and fields defined before storing data. Open edX uses Blip: MongoDB as a noSQL database to store JSON documents describing course content and forum threads/comments."
Ruby,Hold,Technologies,,"A programming language particularly popular due to the Ruby on Rails web application framework.  Open edX's discussion forums utilize an old fork of a Ruby on Rails forums service, but work is in progress to support pluggable forum implementations that are more actively maintained and/or use technologies more commonly utilized by Open edX."
Travis CI,Hold,Technologies,,"A continuous integration system previously popular for automated tests of open source projects.  It is now less actively maintained and has worse terms of service after being acquired by another company, so Open edX is now actively switching to Blip: GitHub Actions instead."
frontend-build,Adopted,Open edX,,"<a href=""https://github.com/edx/frontend-build"">frontend-build</a> is a library of build tools and configurations for our micro-frontends.  It contains webpack, babel, eslint, and Jest configurations, as well as scripts used by our micro-frontends to take advantage of them.  It is our standard for all micro-frontend building. "
frontend-platform,Adopted,Open edX,,"<a href=""https://github.com/edx/frontend-platform"">frontend-platform</a> is an application framework used as the basis for all Open edX micro-frontends.  It provides an application initialization lifecycle, a number of foundational services (analytics, authentication, logging, i18n), and helpful React components.  "
Paragon,Adopted,Open edX,,"<a href=""https://github.com/edx/paragon"">Paragon</a> is the design system and component library for Open edX frontends.  It provides a stylesheet built on Blip: Bootstrap, as well as a wide variety of Blip: React components for use in our frontends.  We're actively investing in its further development, and encourage teams to think about contributing as they create new components in our applications."
XBlock,Adopted,Open edX,,"Each course is built as a tree of <a href=""https://github.com/edx/XBlock"">XBlocks</a>. An XBlock is a specified as a component architecture and allows new courseware experiences to be implemented and plugged into edx-platform for use by all courses - and more generically by any platform that defines an XBlock runtime. Each edx-platform XBlock is implemented as a separate Github repository, which contains both server-side and browser-side code."
edX Django app plugins,Accepted,Open edX,,"Python packages which use a framework defined in the edx-django-utils package to be automatically registered with and used by the service they are installed into without needing to change multiple Django settings. This is very useful for optional Open edX features that some installations may choose not to use.  Currently only used in edx-platform, although the framework is designed to also be usable in other IDAs."
Modulestore,Accepted,Open edX,,"<a href=""https://github.com/edx/edx-platform/tree/master/common/lib/xmodule/xmodule/modulestore"">Modulestore</a> is an Open edX code abstraction which is part of edx-platform. It stores and retrieves course module content to/from MongoDB and MySQL, while adding other stateful and stateless to the module. The Open edX platform has gone through three iterations of the modulestore - XML-based, ""Old Mongo"", and the current ""Split Mongo"" implementation. The modulestore is also shared by Studio and the LMS, though it is known to be non-performant. The Open edX platform is moving in the direction of using the modulestore in Studio only, while using a more performant, non-modulestore data model/interface for the LMS.
"
Paragon icons,Accepted,Open edX,,"Blip: Paragon contains a library of SVG icons for use in frontends, based on MUI icons.  We prefer the use of these icons over font-awesome or other icon libraries, and are actively investing in adding icons for all of our use cases.  We originally created this library because font-awesome didn't have some icons we needed, and have since started switching over to it for consistency and to keep our bundle sizes down."
Blockstore,Provisional,Open edX,,"<a href=""https://github.com/edx/blockstore"">Blockstore</a> is a learning objects repository developed for the next version of content libraries, and intended as a long term replacement for modulestore."
celery-utils,Provisional,Open edX,,"<a href=""https://github.com/edx/edx-celeryutils"">celery-utils</a> is an Open edX Python module hosted in Github which contains common code across multiple Celery tasks used in Open edX to provide common features such as logging, error recovery, and Django management commands which perform common tasks such as re-running failed tasks and deleting old tasks."
edx-ace,Provisional,Open edX,,"<a href=""https://edx-ace.readthedocs.io/en/latest/index.html#"">The Automated Communication Engine</a>, <i>ACE</i> for short, is a Django app for messaging learners on the Open edX platform. This app can be installed in any django application, but has only been tested with edx-platform. It is intended to leverage all of the information available in the host system to personalize the communication to learners, including, but not limited to, the timing of the communication and the language of the message. It reuses existing technologies like Django templates overrides and translation automation to simplify the personalization of messages for different contexts such as different site configurations. edX.org has recently migrated much of this functionality to a third-party tool (Braze)."
Tutor,Accepted,Open edX,,"A Blip: Docker based development and deployment environment for Open edX.  Already an officially supported deployment option, it is likely to become the official development environment also in the near future (replacing Blip: devstack)."
Bok Choy,Hold,Open edX,,"An Open edX-written Python library for making brower automation tests using the Selenium framework easier to write and more reliable. Now primarily used for end-to-end tests, which are starting to migrate to Blip: cypress instead."
devstack,Hold,Open edX,,"The development environment for Open edX services.  Now based on Blip: Docker containers, it had previously used a Vagrant virtual machine.  Work is planned in the near future to switch to using Blip: Tutor instead for this purpose."
edx-bootstrap,Hold,Open edX,,"The edx-bootstrap library is a prior iteration of our Bootstrap theme.  It was folded into more recent versions of Blip: Paragon as of ~2019, and has been deprecated.  It is still in use by some of our legacy frontends, but should be removed when upgrading Paragon to more recent versions."
edx-ui-toolkit,Hold,Open edX,,"The <a href=""https://github.com/edx/edx-ui-toolkit"">UI Toolkit</a> is a prior iteration of a UI component library.  It has been deprecated in favor of the Paragon design system, and is only in use in some of our legacy frontends.  Micro-frontends do not use it at all."
paver,Hold,Open edX,,"A Python package providing a framework for implementing command-line tasks using Python code.  Within Open edX it is only used by edx-platform, and the possibility of switching that to an alternative framwork is periodically considered."
ux-pattern-library,Hold,Open edX,,"The <a href=""https://github.com/edx/ux-pattern-library"">UX Pattern Library</a> is a prior iteration of a UI library and frontend styleguide for Open edX applications and sites.  Its use has been deprecated in favor of the Blip: Paragon design system.  It has not seen any investment since approximately 2016 and should be removed as a dependency where possible."
